CommunityID,Year,CAGR_5,CAGR_10
0,1975,-0.002747294274658474,-0.02782869152960532
0,1976,0.1358431686695234,0.036701608261421326
0,1977,-0.04738265462516811,-0.07446378788975594
0,1978,-0.08998644473339112,-0.0491017025985091
0,1979,-0.08372868365691799,0.004377057806411955
0,1980,-0.05227927927694298,0.017644583489577093
0,1981,-0.05378642561126423,-0.01608589310582742
0,1982,-0.10077505507699902,-0.03454180011125374
0,1983,-0.006380106353309878,0.044347989584326175
0,1984,0.10095476771439915,0.07613775929503852
0,1985,0.09272750469734414,0.030021957204943606
0,1986,0.023116763433405296,0.017502497331221667
0,1987,0.036569927241323574,0.007526765449150208
0,1988,0.09766594884284796,0.040529980249516706
0,1989,0.051880159785968605,0.03350187900706825
0,1990,-0.02908526804387923,0.005445974634120221
0,1991,0.011919039036115686,-0.0009429583584216195
0,1992,-0.02070264974984215,0.011384957761082282
0,1993,-0.013631933340523594,-0.0012828910668474247
0,1994,0.015444700590681038,-0.03888907289375643
0,1995,0.04120534443970425,-0.03870516270945623
0,1996,-0.01364147332937038,-0.06573580584243977
0,1997,0.04452394619886424,-0.026526730231589357
0,1998,0.011220757636448253,-0.08780607200695045
0,1999,-0.09031558915449589,-0.04876638546989409
0,2000,-0.11248269216412343,-0.056422043798906585
0,2001,-0.11507878638094615,-0.05025107866660683
0,2002,-0.09274439288615388,0.01698915390216227
0,2003,-0.17713540195488886,-0.013155162971461576
0,2004,-0.005319450763145883,0.019289202086376855
0,2005,0.003179714432428593,0.026583631304232025
0,2006,0.0193257882076856,0.04829389888412439
0,2007,0.13999509184058612,0.04086048102526307
0,2008,0.18350301457068308,0.05651767394325291
0,2009,0.04450667934242181,-0.07347159646558377
0,2010,0.050533555354073556,-0.05130687303045789
0,2011,0.07808525120309828,-0.13368652238343637
0,2012,-0.04965332858499649,-0.23096747738638868
0,2013,-0.05684262599079648,-0.4415554843668549
0,2014,-0.17812408524138712,
0,2015,-0.14327472495069038,
0,2016,-0.3038592813856059,
0,2017,-0.3776891753018058,
0,2018,-0.6693443897755128,
1,1975,0.06285795552414886,-0.050957872303737606
1,1976,0.06526543362059734,-0.04805464734318354
1,1977,0.0016142134094629945,-0.01332146619004515
1,1978,-0.012107853463276586,-0.008009905104071291
1,1979,0.024647537267612707,-0.0036301593987659864
1,1980,-0.15258576608378704,-0.020247286011696564
1,1981,-0.1493200418932763,-0.02161121162845514
1,1982,-0.028034430774018793,0.02572412098873733
1,1983,-0.003894957742683891,0.046143597689672466
1,1984,-0.031127462710676568,0.003501617893277853
1,1985,0.13275815079400322,0.04201687030556922
1,1986,0.12526998207596973,0.049579149832722935
1,1987,0.08245601046954709,0.03611914031460994
1,1988,0.0986958007028933,0.05446533162816003
1,1989,0.039368398171154784,0.04360805922048616
1,1990,-0.04145544462396833,0.005768961147045504
1,1991,-0.021020369057344612,0.01754088186702285
1,1992,-0.008234179917753992,-0.006743027916703004
1,1993,0.012015459506031334,-0.02473258067485562
1,1994,0.047865014162767006,-0.05175198347294985
1,1995,0.05531996142836926,-0.05413664420572062
1,1996,0.057621030657958316,-0.0534105030949541
1,1997,-0.005249633920369368,-0.10639636167463828
1,1998,-0.060146235650011426,-0.12381286286846516
1,1999,-0.14189872865837083,-0.07671489893146743
1,2000,-0.15224053317109454,-0.04603153510758884
1,2001,-0.15278568629302292,-0.06134732340405524
1,2002,-0.1972584382397693,-0.0639025884713631
1,2003,-0.18316664954179762,-0.06018615475100053
1,2004,-0.006579518845918342,-0.0026282708640520402
1,2005,0.07348353821786424,-0.003603990444576932
1,2006,0.0399598224746982,-0.06558368763437394
1,2007,0.09160706958928855,-0.05975858661591882
1,2008,0.08130999208865752,-0.07110530003228976
1,2009,0.0013386928805858567,-0.1070945024377693
1,2010,-0.0751558151453644,-0.15343803175159854
1,2011,-0.1604157911242594,-0.18528977108626976
1,2012,-0.1901354067126778,-0.2324510203412704
1,2013,-0.20203700146945736,
1,2014,-0.20378565889300548,
1,2015,-0.2250941533494626,
1,2016,-0.20942682094334286,
1,2017,-0.2725556333018425,
2,1975,0.12054918219885358,0.1807381162153323
2,1976,0.009571122817161548,0.07177346253629313
2,1977,-0.11160209406041033,-0.04209209373911471
2,1978,-0.12479382052455523,0.06117572786727665
2,1979,0.06961037572506878,0.06936758584186853
2,1980,0.2441600254867935,0.06339599569374865
2,1981,0.13780825247026218,0.0705206448259037
2,1982,0.03285650578684285,0.04789231092517854
2,1983,0.28666130544184365,0.2366999759332058
2,1984,0.06912485106932209,0.09630565359551113
2,1985,-0.0911048253498945,0.058888165333772946
2,1986,0.007212285998444923,0.12188564524081369
2,1987,0.06314699974667004,0.1541523806519729
2,1988,0.18867865537308726,0.26226739278545796
2,1989,0.1241774848871704,0.24884153871259196
2,1990,0.2336341725167208,0.21882685857316853
2,1991,0.24961482151672265,0.24226829392309335
2,1992,0.25294782196819976,0.19424460858400083
2,1993,0.3404118629431492,0.15826542433277413
2,1994,0.3873300344300761,0.12254733461414569
2,1995,0.20419727685453948,0.04063349952284323
2,1996,0.23496495681244678,0.05151240485800157
2,1997,0.13829176293356538,0.08613265423048788
2,1998,0.0008705758982687772,-0.07934311411024697
2,1999,-0.09169953278854448,-0.09538033688257141
2,2000,-0.10071372760630326,-0.013006221861230238
2,2001,-0.10468849219486276,-0.038197813381375734
2,2002,0.03636359411538237,0.016422521132431145
2,2003,-0.1531281646725411,-0.042837487263848284
2,2004,-0.09904622485658332,0.017823117217824702
2,2005,0.08325540819349775,0.060172547585395364
2,2006,0.03323082314910342,0.0720236139995114
