cpc_subclass,cpc_subclass_title,cpc_group,cpc_group_title,cpc_class,cpc_class_title
B62J,"CYCLE SADDLES OR SEATS; AUXILIARY DEVICES OR ACCESSORIES SPECIALLY ADAPTED TO CYCLES AND NOT OTHERWISE PROVIDED FOR, e.g. ARTICLE CARRIERS OR CYCLE PROTECTORS",B62J3/10,Acoustic signal devices ; Arrangement of such devices on cycles-Electrical devices,B62,LAND VEHICLES FOR TRAVELLING OTHERWISE THAN ON RAILS
B62J,"CYCLE SADDLES OR SEATS; AUXILIARY DEVICES OR ACCESSORIES SPECIALLY ADAPTED TO CYCLES AND NOT OTHERWISE PROVIDED FOR, e.g. ARTICLE CARRIERS OR CYCLE PROTECTORS",B62J3/12,Acoustic signal devices ; Arrangement of such devices on cycles-Electrical devices-Buzzers; Horns with electrically driven airflow,B62,LAND VEHICLES FOR TRAVELLING OTHERWISE THAN ON RAILS
B62J,"CYCLE SADDLES OR SEATS; AUXILIARY DEVICES OR ACCESSORIES SPECIALLY ADAPTED TO CYCLES AND NOT OTHERWISE PROVIDED FOR, e.g. ARTICLE CARRIERS OR CYCLE PROTECTORS",B62J3/14,"Acoustic signal devices ; Arrangement of such devices on cycles-Electrical devices-indicating functioning of other devices, e.g. acoustic warnings indicating that lights are switched on",B62,LAND VEHICLES FOR TRAVELLING OTHERWISE THAN ON RAILS
B66F,"HOISTING, LIFTING, HAULING OR PUSHING, NOT OTHERWISE PROVIDED FOR, e.g. DEVICES WHICH APPLY A LIFTING OR PUSHING FORCE DIRECTLY TO THE SURFACE OF A LOAD ",B66F9/24,"Devices for lifting or lowering bulky or heavy goods for loading or unloading purposes -movable, with their loads, on wheels or the like, e.g. fork-lift trucks -Constructional features or details-Means for actuating or controlling masts, platforms, or forks -Electrical devices or systems",B66,HOISTING; LIFTING; HAULING
D04B,KNITTING,D04B15/78,"Details of, or auxiliary devices incorporated in, weft knitting machines, restricted to machines of this kind -Devices for determining or controlling patterns ; ; Programme-control arrangements-characterised by the knitting instruments used-Electrical devices",D04,BRAIDING; LACE-MAKING; KNITTING; TRIMMINGS; NON-WOVEN FABRICS
F24D,"DOMESTIC- OR SPACE-HEATING SYSTEMS, e.g. CENTRAL HEATING SYSTEMS; DOMESTIC HOT-WATER SUPPLY SYSTEMS; ELEMENTS OR COMPONENTS THEREFOR ",F24D2200/29,"Heat sources or energy sources-Waste heat-Electrical devices, e.g. computers, servers",F24,HEATING; RANGES; VENTILATING
